,article_name,no_footnotes,primary_sources,refimprove,original_research,advert,notability,file_name,file_name_with_suffix,word_cnt,char_cnt,sentence_cnt,max_sentence_words_len,words_per_paragraph_avg,abstract_chars_len,abstract_words_len,std_dev_sections_chars_len,std_dev_sections_words_len,max_section_chars_len,max_section_words_len,min_section_chars_len,min_section_words_len,file_cnt,section_cnt,sub_section_cnt,image_cnt,images_per_section,ref_cnt,ref_per_sect,table_cnt,external_links_cnt,ext_link_per_sect,passive_sentence_count,questions_count,long_phrase_rate,short_phrase_rate,auxVerbs_count,conjunctions_count,conjunctions_rate,bgn_phrase_pronoun,bgn_phrase_article,bgn_phrase_conjunction,bgn_phrase_subordinating_conjunction,bgn_phrase_inter_pronoun,bgn_phrase_preposition,nominalization_count,nominalization_rate,preposition_count,preposition_rate,to_be_count,to_be_rate,pronouns_count,ARI,coleman_liau,flesh,Kincaid,fog,Lix,Smog,age,age_per_review_30_days,avg_edit_per_usr,ip_count,review_count,user_count,occasional_usr_rvw_rate,rev_porc_Last3Months,Most_active_users_rvw_rate,std_dev_edit_per_usr,Reviews_per_day,section_cnt_include_abstract,subsection_per_section_avg,citation_count_per_text_length,links_per_text_length
0,Evelyn_Sharma,0,0,1,0,0,0,30483,30483.txt,228,1127,13,35,28.5,352,59,294.9545515837991,52.129646075913456,804,140,18,1,6.0,5.0,0.0,7.0,1.4,19.0,3.8,5.0,18.0,3.6,4,0,0.0,0.9230769230769232,5,30,0.13157894736842105,5,1,4,0,0,4,1,0.0043859649122807015,23,0.10087719298245612,8,0.03508771929824561,17,10.620678137651822,11.603640350877194,191.53375568190663,-12.227809157988135,5.881363346253834,38.15249662618083,18.93255013631383,2674.0,3.333333333333333,1.8843930635838149,171.0,652.0,346.0,0.6288343558282209,0.04601226993865031,0.2561349693251534,2.809372551508749,0.2438294689603589,6.0,0.0,0.08333333333333333,0.07894736842105263
1,Westinghouse_Advanced_Energy_Systems_Division,0,0,0,1,0,0,28663,28663.txt,652,3552,33,37,72.44444444444444,1208,185,683.2151117246227,108.33692301745,2310,362,668,102,6.0,1.0,0.0,7.0,7.0,0.0,0.0,5.0,9.0,9.0,12,0,0.0,0.8709677419354839,13,102,0.15644171779141106,1,11,4,0,0,4,11,0.016871165644171782,81,0.12423312883435585,24,0.03680981595092025,5,14.108174381855354,14.76944785276074,192.49292944785282,-12.236170756646215,5.602564527717902,51.50604201524447,19.624188291872674,4529.0,-1.0,2.5,2.0,40.0,16.0,0.275,0.0,0.0,5.72799418255395,0.008831971737690441,2.0,0.0,0.0,0.013803680981595092
2,Defense_Intel_Alumni_Association,0,0,1,0,0,0,11741,11741.txt,156,936,6,45,39.0,707,101,161.5,23.0,707,101,384,55,3.0,4.0,0.0,4.0,1.0,2.0,0.5,1.0,2.0,0.5,2,0,0.0,0.8333333333333334,3,35,0.2243589743589744,1,1,2,0,0,0,7,0.04487179487179487,22,0.14102564102564102,3,0.019230769230769232,2,19.830000000000005,18.386153846153842,193.96615384615384,-12.30448717948718,6.246153846153848,68.94871794871796,24.213203435596427,3664.0,-1.0,1.4,1.0,28.0,20.0,0.6428571428571429,0.0,0.0,0.9035079029052514,0.007641921397379912,5.0,0.0,0.01282051282051282,0.01282051282051282
3,Cy_Schneider,0,0,1,0,0,0,21781,21781.txt,340,1755,18,43,26.153846153846153,226,39,549.5373053760774,89.88430063142283,1459,239,73,12,4.0,4.0,3.0,5.0,1.25,8.0,2.0,3.0,5.0,1.25,4,0,0.0,0.8888888888888888,4,68,0.2,4,1,9,1,0,8,1,0.002941176470588236,56,0.16470588235294115,11,0.032352941176470584,13,12.326356209150324,13.014558823529404,191.27991138763198,-12.138051365845484,5.665845483492543,45.065359477124176,19.22754859285078,235.0,-1.0,2.8571428571428568,0.0,40.0,14.0,0.3,0.05,0.0,3.508232077228117,0.1702127659574468,5.0,0.6,0.023529411764705882,0.014705882352941175
4,Ostern,0,0,0,1,0,0,40558,40558.txt,1150,6063,44,57,47.91666666666666,1507,238,1051.8711370167398,170.96458372683185,3063,498,184,28,5.0,6.0,0.0,6.0,1.0,0.0,0.0,4.0,4.0,0.6666666666666666,13,0,0.045454545454545456,0.7272727272727273,15,205,0.1782608695652174,2,17,10,1,1,9,9,0.007826086956521741,149,0.12956521739130436,36,0.031304347826086966,15,16.470120948616604,14.105278260869564,191.93955743174928,-12.202630006669107,5.130476030663541,55.1798418972332,20.671240117001613,5398.0,-1.0,1.4206896551724135,51.0,206.0,145.0,0.7233009708737864,0.0,0.2184466019417476,2.1418928698236366,0.0381622823267877,7.0,0.0,0.0,0.003478260869565217
5,One_Stone,0,0,1,0,0,0,12684,12684.txt,166,945,10,30,11.857142857142858,102,18,84.76650281803538,13.016912076218386,329,51,102,18,4.0,7.0,0.0,5.0,0.7142857142857143,34.0,4.857142857142857,5.0,20.0,2.8571428571428568,3,0,0.0,1.0,3,18,0.10843373493975904,0,4,0,0,0,0,1,0.006024096385542169,14,0.08433734939759037,4,0.024096385542168683,2,13.68295180722891,15.92319277108433,191.56731353987385,-12.046221393510553,6.044304200930707,39.49156626506024,19.34013463836819,608.0,10.0,4.25,4.0,68.0,16.0,0.22058823529411764,0.05882352941176471,0.0,8.301003955345802,0.1118421052631579,8.0,0.0,0.20481927710843373,0.12048192771084335
6,Laurent_Itti,1,0,0,0,0,0,22900,22900.txt,331,3143,88,49,47.28571428571429,1569,231,137.5,90.0,1848,232,1573,52,7.0,1.0,0.0,6.0,6.0,0.0,0.0,2.0,14.0,14.0,4,0,0.011494252873563218,0.9770114942528736,6,44,0.13293051359516614,3,3,2,1,0,0,19,0.05740181268882175,36,0.10876132930513596,9,0.027190332326283987,5,25.174337407305693,32.152477341389734,193.45564249139457,-11.364909274241992,6.6107867384770085,51.79761741279868,11.679914117715054,5047.0,30.0,1.3636363636363635,10.0,45.0,33.0,0.6,0.022222222222222227,0.1111111111111111,0.8498365855987975,0.008916187834357044,2.0,0.0,0.0,0.04229607250755287
7,Nikola_Zhekov,1,0,0,0,0,0,38447,38447.txt,897,4511,50,41,28.03125,221,37,1919.5421329056574,320.2197162366282,4493,749,221,37,21.0,4.0,3.0,20.0,5.0,0.0,0.0,5.0,7.0,1.75,18,0,0.0,0.88,18,179,0.1995540691192865,4,10,22,0,0,16,11,0.012263099219620958,143,0.15942028985507245,27,0.030100334448160536,38,11.22652173913044,12.148483835005571,191.79087676179645,-12.242306824862895,5.345666470688398,44.02695652173913,18.019986684414867,4759.0,-1.0,1.738095238095238,11.0,146.0,84.0,0.5,0.00684931506849315,0.2671232876712329,3.477293671796612,0.03067871401554948,5.0,0.6,0.0,0.007803790412486066
8,Manfred_Winkelhock,0,0,1,0,0,0,16411,16411.txt,340,1655,14,44,26.153846153846153,277,49,256.0829943592507,48.295962564173,763,137,202,26,8.0,4.0,2.0,7.0,1.75,2.0,0.5,7.0,6.0,1.5,1,0,0.0,0.7142857142857143,2,62,0.18235294117647047,6,3,3,1,0,2,1,0.002941176470588236,55,0.16176470588235295,11,0.032352941176470584,15,13.639474789915965,11.635147058823529,190.7506524346899,-12.137297405366981,5.451590545583793,46.344537815126046,20.627089541790095,6417.0,-1.0,1.5267857142857142,28.0,171.0,112.0,0.6140350877192983,0.0,0.1871345029239766,1.575082990382665,0.02664796633941094,5.0,0.4,0.005882352941176471,0.017647058823529408
9,Intel_Paragon,1,0,1,0,0,0,60057,60057.txt,495,2536,36,40,10.3125,1724,273,349.81406937985594,57.036749805738104,1730,278,0,0,15.0,1.0,0.0,16.0,16.0,0.0,0.0,5.0,4.0,4.0,9,0,0.0,0.9428571428571428,10,68,0.13737373737373734,1,13,3,0,0,2,4,0.008080808080808079,55,0.1111111111111111,21,0.042424242424242434,3,9.57542424242424,12.194020202020203,190.8931210846637,-12.093674409712264,6.118693560207754,39.608585858585855,17.66287829861518,4796.0,-1.0,1.5454545454545454,7.0,51.0,33.0,0.6470588235294118,0.0,0.13725490196078433,1.4931817828833482,0.010633861551292744,2.0,0.0,0.0,0.008080808080808079
